Kommun_kod;Kommun_kod_S;Kommun_namn;Lan_kod;Lan_kod_S;Lan_bokstav;Lan_Namn;FA15Nr;FA15Namn;Nuts1_kod;Nuts1_namn;Nuts2_kod;Nuts2_namn;LandsbKom_3_kod;LandsbKom_3_Namn;LandsbKom_6_kod;LandsbKom_6_Namn;SCB_lan_namn;Kolada_lan_namn
114;0114;Upplands Väsby;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE11;Stockholm;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
115;0115;Vallentuna;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;01 Stockholms län;Region Stockholm
117;0117;Österåker;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
120;0120;Värmdö;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;01 Stockholms län;Region Stockholm
123;0123;Järfälla;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
125;0125;Ekerö;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;01 Stockholms län;Region Stockholm
126;0126;Huddinge;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
127;0127;Botkyrka;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
128;0128;Salem;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
136;0136;Haninge;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
138;0138;Tyresö;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
139;0139;Upplands-Bro;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
140;0140;Nykvarn;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;01 Stockholms län;Region Stockholm
160;0160;Täby;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
162;0162;Danderyd;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
163;0163;Sollentuna;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
180;0180;Stockholm;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
181;0181;Södertälje;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
182;0182;Nacka;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
183;0183;Sundbyberg;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
184;0184;Solna;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
186;0186;Lidingö;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
187;0187;Vaxholm;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;01 Stockholms län;Region Stockholm
188;0188;Norrtälje;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;01 Stockholms län;Region Stockholm
191;0191;Sigtuna;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;3;Storstadskommuner;33;Storstadskommuner;01 Stockholms län;Region Stockholm
192;0192;Nynäshamn;1;01;AB;Stockholms län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;01 Stockholms län;Region Stockholm
305;0305;Håbo;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;03 Uppsala län;Region Uppsala
319;0319;Älvkarleby;3;03;C;Uppsala län;36;Gävle;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;03 Uppsala län;Region Uppsala
330;0330;Knivsta;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;03 Uppsala län;Region Uppsala
331;0331;Heby;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;03 Uppsala län;Region Uppsala
360;0360;Tierp;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;03 Uppsala län;Region Uppsala
380;0380;Uppsala;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;03 Uppsala län;Region Uppsala
381;0381;Enköping;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;03 Uppsala län;Region Uppsala
382;0382;Östhammar;3;03;C;Uppsala län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;03 Uppsala län;Region Uppsala
428;0428;Vingåker;4;04;D;Södermanlands län;22;Eskilstuna;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;04 Södermanlands län;Region Sörmland
461;0461;Gnesta;4;04;D;Södermanlands län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;04 Södermanlands län;Region Sörmland
480;0480;Nyköping;4;04;D;Södermanlands län;21;Nyköping-Oxelösund;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;04 Södermanlands län;Region Sörmland
481;0481;Oxelösund;4;04;D;Södermanlands län;21;Nyköping-Oxelösund;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;04 Södermanlands län;Region Sörmland
482;0482;Flen;4;04;D;Södermanlands län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;04 Södermanlands län;Region Sörmland
483;0483;Katrineholm;4;04;D;Södermanlands län;22;Eskilstuna;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;04 Södermanlands län;Region Sörmland
484;0484;Eskilstuna;4;04;D;Södermanlands län;22;Eskilstuna;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;04 Södermanlands län;Region Sörmland
486;0486;Strängnäs;4;04;D;Södermanlands län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;04 Södermanlands län;Region Sörmland
488;0488;Trosa;4;04;D;Södermanlands län;23;Stockholm;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;04 Södermanlands län;Region Sörmland
509;0509;Ödeshög;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;05 Östergötlands län;Region Östergötland
512;0512;Ydre;5;05;E;Östergötlands län;13;Jönköping;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;05 Östergötlands län;Region Östergötland
513;0513;Kinda;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;05 Östergötlands län;Region Östergötland
560;0560;Boxholm;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;05 Östergötlands län;Region Östergötland
561;0561;Åtvidaberg;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
562;0562;Finspång;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
563;0563;Valdemarsvik;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;05 Östergötlands län;Region Östergötland
580;0580;Linköping;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
581;0581;Norrköping;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
582;0582;Söderköping;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
583;0583;Motala;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
584;0584;Vadstena;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;2;Täta kommuner;22;Täta kommuner nära en större stad;05 Östergötlands län;Region Östergötland
586;0586;Mjölby;5;05;E;Östergötlands län;19;Linköping-Norrköping;SE1;Östra Sverige;SE12;Östra Mellansverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;05 Östergötlands län;Region Östergötland
604;0604;Aneby;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
617;0617;Gnosjö;6;06;F;Jönköpings län;07;Värnamo;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;06 Jönköpings län;Region Jönköpings län
642;0642;Mullsjö;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
643;0643;Habo;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
662;0662;Gislaved;6;06;F;Jönköpings län;07;Värnamo;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;06 Jönköpings län;Region Jönköpings län
665;0665;Vaggeryd;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
680;0680;Jönköping;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
682;0682;Nässjö;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
683;0683;Värnamo;6;06;F;Jönköpings län;07;Värnamo;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;06 Jönköpings län;Region Jönköpings län
684;0684;Sävsjö;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;06 Jönköpings län;Region Jönköpings län
685;0685;Vetlanda;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;21;Täta kommuner avlägset belägna;06 Jönköpings län;Region Jönköpings län
686;0686;Eksjö;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;21;Täta kommuner avlägset belägna;06 Jönköpings län;Region Jönköpings län
687;0687;Tranås;6;06;F;Jönköpings län;13;Jönköping;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;21;Täta kommuner avlägset belägna;06 Jönköpings län;Region Jönköpings län
760;0760;Uppvidinge;7;07;G;Kronobergs län;08;Växjö;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;07 Kronobergs län;Region Kronoberg
761;0761;Lessebo;7;07;G;Kronobergs län;08;Växjö;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;07 Kronobergs län;Region Kronoberg
763;0763;Tingsryd;7;07;G;Kronobergs län;08;Växjö;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;07 Kronobergs län;Region Kronoberg
764;0764;Alvesta;7;07;G;Kronobergs län;08;Växjö;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;07 Kronobergs län;Region Kronoberg
765;0765;Älmhult;7;07;G;Kronobergs län;04;Älmhult-Osby;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;07 Kronobergs län;Region Kronoberg
767;0767;Markaryd;7;07;G;Kronobergs län;05;Ljungby;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;07 Kronobergs län;Region Kronoberg
780;0780;Växjö;7;07;G;Kronobergs län;08;Växjö;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;07 Kronobergs län;Region Kronoberg
781;0781;Ljungby;7;07;G;Kronobergs län;05;Ljungby;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;07 Kronobergs län;Region Kronoberg
821;0821;Högsby;8;08;H;Kalmar län;10;Oskarshamn;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;08 Kalmar län;Region Kalmar
834;0834;Torsås;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;08 Kalmar län;Region Kalmar
840;0840;Mörbylånga;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;08 Kalmar län;Region Kalmar
860;0860;Hultsfred;8;08;H;Kalmar län;12;Vimmerby;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;08 Kalmar län;Region Kalmar
861;0861;Mönsterås;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;08 Kalmar län;Region Kalmar
862;0862;Emmaboda;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;08 Kalmar län;Region Kalmar
880;0880;Kalmar;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;08 Kalmar län;Region Kalmar
881;0881;Nybro;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;22;Täta kommuner nära en större stad;08 Kalmar län;Region Kalmar
882;0882;Oskarshamn;8;08;H;Kalmar län;10;Oskarshamn;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;21;Täta kommuner avlägset belägna;08 Kalmar län;Region Kalmar
883;0883;Västervik;8;08;H;Kalmar län;11;Västervik;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;21;Täta kommuner avlägset belägna;08 Kalmar län;Region Kalmar
884;0884;Vimmerby;8;08;H;Kalmar län;12;Vimmerby;SE2;Södra Sverige;SE21;Småland med öarna;2;Täta kommuner;21;Täta kommuner avlägset belägna;08 Kalmar län;Region Kalmar
885;0885;Borgholm;8;08;H;Kalmar län;09;Kalmar;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;08 Kalmar län;Region Kalmar
980;0980;Gotland;9;09;I;Gotlands län;20;Gotland;SE2;Södra Sverige;SE21;Småland med öarna;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;09 Gotlands län;Region Gotland
1060;1060;Olofström;10;10;J;Blekinge län;03;Karlskrona;SE2;Södra Sverige;SE22;Sydsverige;2;Täta kommuner;22;Täta kommuner nära en större stad;10 Blekinge län;Region Blekinge
1080;1080;Karlskrona;10;10;J;Blekinge län;03;Karlskrona;SE2;Södra Sverige;SE22;Sydsverige;2;Täta kommuner;21;Täta kommuner avlägset belägna;10 Blekinge län;Region Blekinge
1081;1081;Ronneby;10;10;J;Blekinge län;03;Karlskrona;SE2;Södra Sverige;SE22;Sydsverige;1;Landsbygdskommuner;11;Landsbygdskommuner avlägset belägna;10 Blekinge län;Region Blekinge
1082;1082;Karlshamn;10;10;J;Blekinge län;03;Karlskrona;SE2;Södra Sverige;SE22;Sydsverige;2;Täta kommuner;22;Täta kommuner nära en större stad;10 Blekinge län;Region Blekinge
1083;1083;Sölvesborg;10;10;J;Blekinge län;02;Kristianstad-Hässleholm;SE2;Södra Sverige;SE22;Sydsverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;10 Blekinge län;Region Blekinge
1214;1214;Svalöv;12;12;M;Skåne län;01;Malmö-Lund;SE2;Södra Sverige;SE22;Sydsverige;1;Landsbygdskommuner;12;Landsbygdskommuner nära en större stad;12 Skåne län;Region Skåne
1230;1230;Staffanstorp;12;12;M;Skåne län;01;Malmö-Lund;SE2;Södra Sverige;SE22;Sydsverige;3;Storstadskommuner;33;Storstadskommuner;12 Skåne län;Region Skåne
